Candidate Name,Party,Status,State,Constituency
PRAMOD RAGHUNATH BAWANE,Independent,Applied,Maharashtra,NAGPUR WEST
RAJESH JAYSINGH ASRONDKAR,Independent,Applied,Maharashtra,AMBERNATH
BHARTI NAIK,Rashtriya Swarajya Sena,Applied,Maharashtra,VANDRE WEST
ANAND SURESH SHINGARE,Vanchit Bahujan  Aaghadi,Applied,Maharashtra,NANDGAON
LAXMIKANT MANIKRAO JOGDAND,Independent,Applied,Maharashtra,LATUR RURAL
PRASAD SURESH PARHAD,Independent,Applied,Maharashtra,BOISAR
RAMDAS SUBHASHRAO KOLAGE,Independent,Applied,Maharashtra,OSMANABAD
PRAKASH UDHAORAO TAKSANDE,Independent,Applied,Maharashtra,CHANDRAPUR
BALASO MARUTI KAMBLE,Independent,Applied,Maharashtra,SHIROL
VARSHA SANJIV SAHARE,Bahujan Samaj Party,Applied,Maharashtra,NAGPUR WEST
MOBIN SADIQ SHAIKH,Bahujan Samaj Party,Applied,Maharashtra,BHIWANDI WEST
MOH. MUSTAKEEM MOH. MUSTAFA,Samajwadi Party,Applied,Maharashtra,MALEGAON CENTRAL
SHIVAJI JANRDHAN BANGAR,Independent,Applied,Maharashtra,BEED
SHAILENDRA CHANDRAKANT RUPEKAR,Independent,Applied,Maharashtra,AMBERNATH
DEEPAK MANOHARRAO DEOGHARE,Independent,Applied,Maharashtra,NAGPUR CENTRAL
KRUSHNA PRAKASH KADAM,Republican Party of India (A),Applied,Maharashtra,HADAPSAR
ANWAR PEER SAYYED,Independent,Applied,Maharashtra,DINDOSHI
RAMDAS SUBHASHRAO KOLAGE,Bharatiya Janata Party,Applied,Maharashtra,OSMANABAD
HABIB BAIG,Independent,Applied,Maharashtra,NAGPUR WEST
HARISH MAROTIAPPA PIMPLE,Bharatiya Janata Party,Applied,Maharashtra,MURTIZAPUR
NETRA BALU BORKAR,Independent,Applied,Maharashtra,NANDGAON
PRAMOD SURESH PATIL,Independent,Applied,Maharashtra,SHIROL
BHUVANESH BABURAO PANCHAL,Independent,Applied,Maharashtra,DINDOSHI
SOMNATH MADHUKAR SABLE,Independent,Applied,Maharashtra,PARANDA
SANJAY CHANGDEO KURHADE,Independent,Applied,Maharashtra,DEOLALI
YUVRAJ KISANRAO BAHIRWAL,Independent,Applied,Maharashtra,BEED
SHAKIR AHAMAD MEHBOOB SHAIKH,Independent,Applied,Maharashtra,BHIWANDI WEST
MANOJ GOPICHAND LADE,Bahujan Samaj Party,Applied,Maharashtra,CHANDRAPUR
ULHAS DATTATRAY TUPE,Independent,Applied,Maharashtra,HADAPSAR
DAYANAND MOTIRAM CHORGHE,Indian National Congress,Applied,Maharashtra,BHIWANDI WEST
RAMA MOHAN  THOKE,Bahujan Republican  Socialist Party,Applied,Maharashtra,BHOSARI
DILESH TUKARAM KIRVE,Independent,Applied,Maharashtra,DINDOSHI
ULHAS DATTATRAY TUPE,Independent,Applied,Maharashtra,HADAPSAR
SANJAY CHANGDEO KURHADE,Nationalist Congress Party – Sharadchandra Pawar,Applied,Maharashtra,DEOLALI
ZETE SACHIN VITTHAL,Independent,Applied,Maharashtra,LATUR RURAL
BHASARA VASANT NAVASHA,Independent,Applied,Maharashtra,DAHANU
DR VINOD MAROTI RANGARI,Bahujan Republican  Socialist Party,Applied,Maharashtra,NAGPUR WEST
KADRI VAZIR MOHAMMED ABDUL KUDDUS3,Independent,Applied,Maharashtra,VANDRE WEST
CHAUGHULE PARESH CHANDRAKANT,Independent,Applied,Maharashtra,BHIWANDI WEST
GANESH BABAN CHAVAN,Independent,Applied,Maharashtra,DINDOSHI
SUMEDH HIRAMAN BHAVAR,Independent,Applied,Maharashtra,AMBERNATH
MUKUND MANIK DHUTADMAL,Independent,Applied,Maharashtra,BEED
SHANTARAM VITHOBAJI JALTE,Bahujan Republican  Socialist Party,Applied,Maharashtra,RAMTEK
